item_id,restaurant_id,category,price,veg_flag,popularity_score,margin_score
1,1,side,97.01,True,0.0213,0.3766
2,1,beverage,74.8,False,0.0741,0.5243
3,1,beverage,51.62,False,0.0429,0.6036
4,1,main,82.38,False,0.0626,0.2773
5,1,main,85.15,False,0.0082,0.2497
6,1,main,151.81,True,0.0095,0.2938
7,1,side,54.29,False,0.0221,0.2725
8,1,main,171.67,False,0.0018,0.1822
9,1,dessert,87.3,True,0.0055,0.5248
10,1,beverage,76.77,True,0.0514,0.4583
11,1,main,169.54,False,0.0796,0.2257
12,1,beverage,58.12,False,0.0886,0.5784
13,1,main,95.05,False,0.043,0.2046
14,1,beverage,75.04,True,0.0608,0.558
15,1,dessert,67.5,False,0.0364,0.4999
16,1,main,94.92,True,0.0404,0.257
17,1,main,104.4,False,0.0031,0.3354
18,1,main,157.26,True,0.0109,0.2473
19,2,main,233.61,True,0.0378,0.2431
20,2,main,185.66,True,0.087,0.157
21,2,main,329.25,True,0.0759,0.3399
22,2,beverage,96.88,True,0.0096,0.6726
23,2,main,271.18,True,0.0811,0.3758
24,2,side,121.37,True,0.2399,0.4396
25,2,main,313.2,True,0.037,0.1566
26,2,beverage,135.24,True,0.0027,0.4645
27,2,side,119.17,True,0.0074,0.3309
28,2,dessert,226.06,True,0.0835,0.4623
29,2,beverage,76.35,True,0.367,0.573
30,2,beverage,127.56,True,0.0621,0.5625
31,2,main,203.78,True,0.1027,0.2028
32,3,side,48.81,False,0.0246,0.3105
33,3,main,146.41,False,0.0727,0.3297
34,3,beverage,61.63,True,0.0933,0.4487
35,3,dessert,60.88,False,0.0513,0.554
36,4,side,180.69,False,0.0028,0.3407
37,4,main,295.88,False,0.0571,0.2591
38,4,side,151.26,False,0.0493,0.3594
39,4,main,249.22,False,0.0606,0.2288
40,4,main,198.71,True,0.1916,0.2489
41,4,main,232.66,False,0.0351,0.082
42,4,main,287.54,True,0.0309,0.3382
43,4,main,189.37,True,0.089,0.1658
44,4,beverage,125.7,False,0.1394,0.6705
45,4,beverage,74.32,True,0.009,0.6054
46,4,main,337.3,True,0.0645,0.2815
47,4,main,218.2,False,0.0015,0.1823
48,5,beverage,55.55,True,0.0555,0.496
49,5,main,107.95,True,0.051,0.301
50,5,main,143.95,False,0.0455,0.2358
51,6,side,85.7,True,0.0869,0.4074
52,6,dessert,82.57,True,0.0024,0.5416
53,6,main,130.04,True,0.0893,0.2876
54,6,main,132.21,False,0.066,0.3089
55,6,main,145.2,True,0.0128,0.1971
56,6,beverage,34.2,False,0.0064,0.4977
57,7,beverage,145.48,False,0.4409,0.6148
58,7,side,108.32,True,0.0096,0.3802
59,7,main,170.32,False,0.0003,0.178
60,7,main,311.24,False,0.0082,0.4318
61,7,main,169.35,True,0.0174,0.2568
62,7,beverage,75.02,False,0.1008,0.5663
63,7,beverage,65.22,False,0.0376,0.5973
64,7,beverage,119.63,False,0.0619,0.4935
65,7,beverage,128.05,True,0.0542,0.4561
66,7,beverage,87.12,True,0.0824,0.5665
67,7,main,198.54,True,0.0676,0.1685
68,7,main,174.17,True,0.1683,0.2424
69,8,side,63.85,False,0.0504,0.3644
70,8,beverage,65.78,True,0.0231,0.6459
71,8,beverage,40.47,True,0.0254,0.4991
72,8,beverage,40.15,True,0.0334,0.5343
73,8,beverage,44.14,True,0.3767,0.6966
74,8,beverage,76.23,False,0.0041,0.5712
75,8,dessert,60.23,False,0.0472,0.4934
76,8,main,139.97,True,0.0769,0.1469
77,8,side,55.49,True,0.0082,0.3124
78,8,beverage,30.34,True,0.0701,0.5487
79,9,main,80.12,True,0.0004,0.3728
80,9,main,113.6,False,0.029,0.1885
81,9,dessert,94.76,True,0.0783,0.5789
82,9,main,86.51,False,0.0122,0.3896
83,9,main,179.46,False,0.0835,0.1552
84,9,main,156.87,True,0.3098,0.199
85,9,dessert,113.04,True,0.4208,0.5859
86,9,dessert,117.58,True,0.1443,0.5175
87,9,main,82.87,False,0.0028,0.2397
88,10,beverage,105.3,False,0.0079,0.5916
89,10,beverage,144.3,False,0.2203,0.4163
90,10,dessert,171.73,False,0.1057,0.5319
91,10,main,318.83,True,0.039,0.1657
92,10,side,165.02,False,0.0203,0.355
93,10,beverage,123.04,False,0.0086,0.5321
94,11,beverage,148.0,False,0.099,0.4835
95,11,main,553.0,False,0.0112,0.1773
96,11,side,204.06,False,0.0239,0.4319
97,11,main,353.31,True,0.1004,0.334
98,11,beverage,293.3,False,0.1358,0.414
99,11,beverage,254.94,False,0.07,0.5493
100,11,main,544.34,True,0.0108,0.1774
101,11,dessert,258.02,False,0.253,0.5502
102,11,main,635.39,True,0.0333,0.2696
