user_id,city,segment,avg_order_value,order_frequency,preferred_cuisine,veg_preference_ratio,price_sensitivity_score,recency_score,lifetime_orders,user_frequency_bucket
1,Pune,mid,161.67,4.033,Fast Food,0.133,0.547,0.744,121,3
2,Pune,budget,206.52,4.533,Fast Food,0.356,0.846,0.769,136,3
3,Mumbai,premium,936.54,0.1,Other,0.43,0.253,0.278,2,0
4,Pune,mid,302.56,0.1,North Indian,0.382,0.324,0.018,2,0
5,Bengaluru,budget,176.06,3.533,South Indian,0.093,0.984,0.963,106,3
6,Delhi,premium,656.58,0.633,Biryani,0.571,0.223,0.239,19,2
7,Mumbai,mid,374.19,2.067,North Indian,0.296,0.565,0.817,62,3
8,Chennai,mid,235.27,4.0,North Indian,0.068,0.309,0.402,120,3
9,Delhi,budget,181.12,6.267,Biryani,0.363,0.844,0.493,188,3
10,Hyderabad,mid,185.88,0.1,North Indian,0.49,0.537,0.016,3,0
11,Hyderabad,budget,80.0,5.033,Biryani,0.701,0.979,0.867,151,3
12,Pune,premium,675.61,2.167,North Indian,0.667,0.081,0.628,65,3
13,Chennai,mid,328.88,0.533,Other,0.144,0.59,0.453,16,2
14,Chennai,premium,754.46,2.6,Fast Food,0.177,0.337,0.389,78,3
15,Bengaluru,budget,117.52,0.1,Fast Food,0.262,0.729,0.23,2,0
16,Hyderabad,budget,244.28,0.433,Biryani,0.344,0.743,0.257,13,1
17,Mumbai,mid,366.06,0.1,Chinese,0.257,0.4,0.197,3,0
18,Chennai,budget,161.64,2.067,North Indian,0.141,0.839,0.548,62,3
19,Chennai,premium,739.45,4.633,South Indian,0.406,0.241,0.312,139,3
20,Delhi,mid,450.29,5.9,Other,0.264,0.412,0.397,177,3
21,Mumbai,mid,407.6,0.1,Other,0.549,0.617,0.005,2,0
22,Chennai,budget,172.1,1.267,South Indian,0.534,0.992,0.795,38,2
23,Chennai,premium,847.2,1.8,South Indian,0.348,0.252,0.746,54,3
24,Chennai,premium,335.08,0.1,South Indian,0.479,0.281,0.057,1,0
25,Mumbai,mid,171.32,6.5,Fast Food,0.461,0.516,0.244,195,3
26,Pune,budget,146.2,4.533,Fast Food,0.16,0.675,0.765,136,3
27,Bengaluru,mid,330.23,0.1,Fast Food,0.218,0.396,0.238,2,0
28,Delhi,budget,178.99,5.367,Chinese,0.65,0.713,0.416,161,3
29,Hyderabad,budget,151.0,0.1,Biryani,0.358,0.676,0.192,2,0
30,Pune,mid,408.19,0.667,North Indian,0.471,0.695,0.896,20,2
31,Chennai,mid,225.44,3.933,Biryani,0.377,0.583,0.631,118,3
32,Delhi,premium,697.85,0.1,Fast Food,0.076,0.126,0.294,3,0
33,Pune,budget,82.95,1.833,Desserts,0.352,0.946,0.873,55,3
34,Chennai,budget,169.34,4.233,South Indian,0.141,0.895,0.775,127,3
35,Pune,mid,162.17,1.133,Biryani,0.39,0.635,0.734,34,2
